range,mae_u,mae_v,mse_u,mse_v,corr_u,corr_v,count
105,1.56701,0.693828,3.66257,0.6332,0.99499,0.995193,15
106,1.19256,0.290461,2.87489,0.154142,0.989338,0.999896,14
107,1.46631,0.604806,3.2991,0.611765,0.993789,0.999133,17
108,1.87955,0.790637,4.68722,0.890848,0.962963,0.999169,23
109,2.04819,8.5226,5.50031,474.737,0.680463,0.341734,16
110,1.91629,10.3149,4.44484,594.242,0.92731,0.161343,19
111,1.81741,0.676436,3.965,0.795037,0.92078,0.999751,20
112,2.20605,0.842582,5.88307,1.09557,0.899219,0.998241,20
113,1.96545,1.06376,5.60156,1.68511,0.92952,0.997704,19
114,1.77554,0.835284,5.19473,0.856123,0.983804,0.99834,20
115,1.92867,0.921639,7.17575,1.19802,0.990813,0.974785,13
116,1.25278,0.91263,4.06691,1.12975,0.978184,0.992754,25
117,0.955522,1.13751,2.96013,1.90551,0.984755,0.984366,22
