range,mae_u,mae_v,mse_u,mse_v,corr_u,corr_v,count
105,1.49298,0.648851,4.64048,0.642402,0.972438,0.993873,44
106,1.20943,0.667497,2.76229,0.831803,0.981015,0.993666,49
107,1.00338,0.65356,1.99129,0.558664,0.986786,0.99719,55
108,1.2483,0.541302,2.74338,0.512886,0.980847,0.9985,44
109,1.48824,0.637055,3.3427,0.662734,0.965674,0.998461,31
110,1.42621,0.764091,2.8321,0.912901,0.974821,0.998212,29
111,1.35964,0.65423,2.68281,0.903315,0.9732,0.998646,32
112,1.5278,0.792342,3.57391,1.01766,0.978575,0.99832,36
113,1.50129,0.750019,3.62971,1.08,0.971048,0.997143,32
114,1.36564,0.715021,3.38229,0.753794,0.960241,0.997705,34
115,1.19337,0.673223,3.44986,0.681471,0.969645,0.995532,32
116,1.16003,0.829562,3.05858,1.15168,0.979627,0.992734,38
117,1.03669,0.872892,2.59078,1.31846,0.980614,0.991195,33
